originals,originals2,names,names2
美少女梦工厂4,Princess Maker4,It's only a fairy tale 2,It's only a fairy tale 2
超电磁炮,とある科学の 超電磁砲,红莲の弓矢,红莲の弓矢
棋魂,ヒカルの碁,邻家的龙猫,となりのトトロ
学园默示录,学園黙示録 HIGHSCHOOL OF THE DEAD,境界的彼方,境界の彼方
黑猫,ブラックキャット,Konoha Peace(和平的木叶),Konoha Peace
钢炼,鋼の錬金術師,Face,Face
东方地灵殿,東方地靈殿,我的舞台,我的舞台
驱魔少年,D.Gray-man,比翼の羽根,比翼の羽根
石原贵雅,石原貴雅,年中梦中の好奇心,年中梦中の好奇心
Angel Beats!,Angel Beats!,オセンチな歩美(伤感的步美),オセンチな歩美
柯南,名探偵コナン,Sky chord,Sky chord
三目童子,三つ目がとおる,欢乐岛,メグメル
风之谷,風の谷のナウシカ,陽だまりにて和む猫(阳光下躺着的猫),陽だまりにて和む猫
东方妖妖梦,東方妖々夢,LEVEL5-Judgelight,LEVEL5-Judgelight
狼与香辛料,狼と香辛料,葫芦娃,葫芦娃
跑跑卡丁车,Crazy Racing Kart Rider,OST10,OST10
塞尔达传说,ゼルダの伝説,The floating imperial city,The floating imperial city
青空下的约定,この青空に約束を―,思ひで,思ひで
水果篮子,フルーツバスケット,緑眼のジェラシー,緑眼のジェラシー
龙与虎,TIGER×DRAGON！,temple of the moon,temple of the moon
七彩素描,Canvas2 ～茜色のパレット～,甩葱歌 完美版,Ievan Polkka
月刊少女野崎君,月刊少女野崎くん,Risky Game,Risky Game
大力水手,Popeye the Sailor,最终幻想胜利,Victory BGM
起风了,風立ちぬ,ネイティブフェイス,ネイティブフェイス
轻音,けいおん!,オレンジが落ちていく時(橘子坠落之时),オレンジが落ちていく時
我为歌狂,我为歌狂,大贫民,大貧民
狼与辛香料,狼と香辛料,そばかす,そばかす
我的青春恋爱物语果然有问题,やはり俺の青春ラブコメはまちがっている。,slaughtered lamb,slaughtered lamb
秒速五厘米,秒速5センチメートル,AbLib Ⅱ,AbLib Ⅱ
金刚葫芦娃,金刚葫芦娃,坚定少女的心 2,前向きな乙女心 2
龙珠,ドラゴンボール,放課後ストライド,放課後ストライド
Beck,BECK,Tender Surrender,Tender Surrender
蔷薇少女,Rozen Maiden,战场原Staple Stable,战场原Staple Stable
东方红魔乡,東方紅魔郷,secret base ～君がくれたもの,secret base ～君がくれたもの
未闻花名,あの日見た花の名前を僕達はまだ知らない。,night of knights,night of knights
全金属狂潮,フルメタル?パニック!,Grasswalk 2,Grasswalk 2
魔兽世界,World of Warcraft,Cha la head cha la,Cha la head cha la
喜羊羊与灰太狼,喜羊羊与灰太狼,白い雪のプリンセスは,白い雪のプリンセスは
天降之物,そらのおとしもの,Connect 2,Connect 2
彩云国物语,彩雲国物語,亡灵序曲,Intro
无双大蛇,無双OROCHI,コンプリケイション,コンプリケイション
Air,エアー,Time after time～花舞う街で～,Time after time～花舞う街で～
菊次郎的夏天,菊次郎の夏,远野幻想物语,遠野幻想物語
死神,BLEACH,帰るから,帰るから
阳炎Project,カゲロウプロジェクト,你在我身边,ぼくがいる
相聚一刻,めぞん一刻,Planetes,Planetes
变态王子与不笑猫,変態王子と笑わない猫,Gate of Steiner,Gate of Steiner
舞-HiME,舞-HiME,The Maid and the Pocket Watch of Blood,The Maid and the Pocket Watch of Blood
浪客剑心,るろうに剣心,ひこうき雲(飞机云),ひこうき雲
NBA,NBA,直到世界的尽头,世界が终るまでは…
寂静岭,Silent Hill,Dear my friend,Dear my friend
犬夜叉,犬夜叉,一番の宝物,一番の宝物
初音未来,初音ミク,团子大家族,だんご大家族
无头骑士异闻录,デュラララ!!,The Sore Feet Song 2,The Sore Feet Song 2
秦时明月,秦时明月,素敌だね 2,素敌だね 2
东方三月精,東方三月精,东风,
妖精的旋律,エルフェンリート,予感,
空之轨迹,英雄伝説VI 空の軌跡,Graze the Roof 2,Graze the Roof 2
进击的巨人,進撃の巨人,残酷的天使纲领,
Fate Zero,Fate/Zero,那就是爱吧,
东方永夜抄,東方永夜抄,美しき残酷な世界(美丽而残酷的世界),美しき残酷な世界
植物大战僵尸,Plants vs. Zombies,Slip Outs,Slip Outs
斩!赤红之瞳,アカメが斬る!,快乐合成器  by武士桑,
反叛的鲁鲁修,コードギアス反逆のルルーシュ,风之涌道,
聪明的一休,一休さん,みくるのこころ,みくるのこころ
漫画家与助手,マンガ家さんとアシスタントさんと,日々(日子),日々
劲乐团,O2Jam,she,she
火影,NARUTO -ナルト-,鸟之诗 by広能昌三,
哆啦A梦,ドラえもん,风之涌道  by南泽大介,
路人女主的养成方法,冴えない彼女の育てかた,叹息之森,
东方梦时空,東方夢時空,夕日坂,
学园孤岛,がっこうぐらし!,For fruits basket,For fruits basket
舞-HIME,舞-HIME,みどりのピザ,みどりのピザ
中华小当家,中華一番！,Spica,Spica
血凝,赤い疑惑,原谅我,
数码宝贝,デジタルモンスター,Remilia,Remilia
境界的彼方,境界の彼方,心の旋律,心の旋律
东方花映冢,東方花映塚,かくれんぼ,かくれんぼ
罪恶王冠,ギルティクラウン,那天的河川 2,
三国志,三國志,星之所在 2,
花舞少女,ハナヤマタ,相思花,
寒蝉鸣泣之时,ひぐらしのなく頃に,空は高く風は歌う,空は高く風は歌う
扑杀天使,撲殺天使ドクロちゃん,幻化成风,
一周的朋友,一週間フレンズ,Life is Like a Boat 2,Life is Like a Boat 2
加勒比海盗,Pirates of the Caribbean,メグメル(幻想),メグメル
蜘蛛侠,Spider-Man,Fields of Hope,Fields of Hope
花开伊吕波,花咲くいろは,シンデレラケージ,シンデレラケージ
Narcissu,Narcissu,英雄的黎明,
千与千寻,千と千尋の神隠し,坦克大战开场曲,
美少女梦工场4,Princess Maker,Look at the sky,Look at the sky
Tari Tari,Tari Tari,拉普达,
凉宫,涼宮ハルヒの憂鬱,Merry Christmas Mr.Lawrence  by 武士桑,Merry Christmas Mr.Lawrence
东方绯想天则,東方非想天則,Life is Like a Boat,Life is Like a Boat
精灵世纪,精灵世纪,星之卡比BGM,
女生爱女生,かしまし?ガール?ミーツ?ガール?,素敌だね,素敌だね
地狱少女,地獄少女,色は匂へど散りぬるを,色は匂へど散りぬるを
Null,,昔日友人,
Null,,Sadness and sorrow 2,Sadness and sorrow 2
Null,,Lost Painting,Lost Painting
Null,,Bad apple,Bad apple
Null,,残酷的天使纲领  by南泽大介,
Null,,Song for friends,Song for friends
Null,,光,光
Null,,LET IT GO  by武士桑,LET IT GO
Null,,ハナミズキ,ハナミズキ
Null,,"One more time,One more chance 2","One more time,One more chance 2"
Null,,きみが呼ぶなまえ～夢のつづき～,きみが呼ぶなまえ～夢のつづき～
Null,,Time after time～花舞う街で～ 2,Time after time～花舞う街で～ 2
Null,,ひまわりの约束(向日葵的约定),ひまわりの约束
Null,,Innocent days,Innocent days
Null,,能看见海的城市,
Null,,Lilium,Lilium
Null,,Melodies of life 2,Melodies of life 2
Null,,Kyo,Kyo
Null,,いとはかなし 2,いとはかなし 2
Null,,Letter Song(致十年后的我),Letter Song
Null,,メイドと血の懐中时计,メイドと血の懐中时计
Null,,晴天好心情 2,
Null,,POWDER SNOW,POWDER SNOW
Null,,喜羊羊与灰太狼主题曲,别看我只是一只羊
Null,,有梦好甜蜜,
Null,,夜明け,夜明け
Null,,OP,
Null,,懐かしき東方の血,懐かしき東方の血
Null,,银色,
Null,,Tell Your World 2,Tell Your World 2
Null,,月光传说,
Null,,旅の途中,旅の途中
Null,,幽雅に笑かせ、墨染の樱  GP6处理版,幽雅に笑かせ、墨染の樱
Null,,跑跑卡丁车开场曲,
Null,,光るなら,光るなら
Null,,ふたつの鼓动と赤い罪,ふたつの鼓动と赤い罪
Null,,陆行鸟 by南泽大介,
Null,,校歌,
Null,,只要有你,
Null,,幻化成风 2,
Null,,"Komm,susser tod","Komm,susser tod"
Null,,Breezy,Breezy
Null,,绯色之空,
Null,,Memory,Memory
Null,,End theme,End theme
Null,,Brave Song,Brave Song
Null,,Spider man,Spider man
Null,,Butterfly,Butterfly
Null,,记忆の消失,记忆の消失
Null,,空の境界,空の境界
Null,,ラストリモート,ラストリモート
Null,,Pure white story 2,Pure white story 2
Null,,春色小径,
Null,,Lunadial,Lunadial
Null,,兄弟 2,
Null,,Alone,Alone
Null,,汐,汐
Null,,风一样的勇士,
Null,,夕阳坂,
Null,,菠菜进行曲,
Null,,碎月,
Null,,一番の宝物 2,一番の宝物 2
Null,,ebb and flow ray,ebb and flow ray
Null,,同じ空の下で,同じ空の下で
Null,,Untitled Soundtrack,Untitled Soundtrack
Null,,He's a Pirate,He's a Pirate
Null,,The Road To The Valley,The Road To The Valley
Null,,母亲的扫帚,
Null,,Loss of me,Loss of me
Null,,风のアルペジオ,风のアルペジオ
Null,,轻飘飘的时间,
Null,,信仰は儚き人間の為に,信仰は儚き人間の為に
Null,,插曲,
Null,,甩葱歌,
Null,,泰达的旋律,
Null,,桜ノ雨(樱之雨),桜ノ雨
Null,,相遇天使,天使にふれたよ! 
Null,,My Song,My Song
Null,,どれだけ希望を持ったのか,どれだけ希望を持ったのか
Null,,道に迷う子供,道に迷う子供
Null,,Tears of,Tears of
Null,,アシタカせっ記,アシタカせっ記
Null,,Last Regrets,Last Regrets
Null,,Lilium 修改版,Lilium
Null,,ぼくらのレットイットビー(Our Let It Be),ぼくらのレットイットビー
Null,,Where amazing happens,Where amazing happens
Null,,Limpid luster,Limpid luster
Null,,Lilium 2,Lilium 2
Null,,karazhan,karazhan
Null,,君じゃなきゃダメみたい(似乎不是你就不行的样子),君じゃなきゃダメみたい
Null,,gallows end,gallows end
Null,,樱桃成熟时,
Null,,Promise,Promise
Null,,Just be friends,Just be friends
Null,,风之涌道  2,
Null,,Connect 3,Connect 3
Null,,Magia,Magia
Null,,旅路(梦中飞行),旅路
Null,,歌に形はないけれど,歌に形はないけれど
Null,,光芒与希望,
Null,,春の凑に(春之岸边),春の凑に
Null,,哀のテーマB(哀的决意B),哀のテーマB
Null,,天衣無縫,天衣無縫
Null,,The Sore Feet Song,The Sore Feet Song
Null,,与你同在 2,Always with me
Null,,你在我身边 2,
Null,,ローリンガール(Rolling girl),ローリンガール
Null,,Holiday,Holiday
Null,,ワールズエンド ダンスホール(世界终结舞厅)  by武士桑,ワールズエンド ダンスホール
Null,,膝枕で过ごす放课后,膝枕で过ごす放课后
Null,,最棒的单相思,
Null,,永远同在 3,
Null,,春を知らせるもの,春を知らせるもの
Null,,家に帰ると妻が必ず死んだふりをしています,家に帰ると妻が必ず死んだふりをしています
Null,,You,You
Null,,魔女達の舞踏会,魔女達の舞踏会
Null,,Hello Alone-Yui Ballade,Hello Alone-Yui Ballade
Null,,"Rain Stops,Good-Bye 2","Rain Stops,Good-Bye 2"
Null,,"夏色えがおで1,2,Jump!","夏色えがおで1,2,Jump!"
Null,,命运与恋慕之心,
Null,,bgm,
Null,,てんとう虫(瓢虫),てんとう虫
Null,,Sadness and sorrow,Sadness and sorrow
Null,,宾克斯的美酒,
Null,,恋之实玖留传说,
Null,,鸟之人,
Null,,Hiroki's Melody,Hiroki's Melody
Null,,星之所在,
Null,,Get over,Get over
Null,,幽灵公主,
Null,,经典旋律,
Null,,命运の夜,命运の夜
Null,,salty sailor,salty sailor
Null,,兄弟,
Null,,魔法少女達の百年祭,魔法少女達の百年祭
Null,,世界的约定 by南泽大介,
Null,,花苗的心情,
Null,,今はその剣を置いて(现在先把剑放在一边),今はその剣を置いて
Null,,时を刻む呗,时を刻む呗
Null,,红楼 ～ Eastern Dream,红楼 ～ Eastern Dream
Null,,Eyes on me,Eyes on me
Null,,愛してるばんざーい!,愛してるばんざーい!
Null,,花雪,花雪
Null,,奏,奏
Null,,はぐれ雲のブルース,はぐれ雲のブルース
Null,,风的传说,
Null,,Grasswalk,Grasswalk
Null,,炉心融解,
Null,,Rainbow,Rainbow
Null,,最终幻想经典旋律,
Null,,飞雪玉花,
Null,,命运,
Null,,チルノのすうがく教室,チルノのすうがく教室
Null,,热带鱼之梦,
Null,,不变的永远,
Null,,Vamo'Alla flamenco lonlonjp,Vamo'Alla flamenco lonlonjp
Null,,夕日の颜,夕日の颜
Null,,晴天好心情,
Null,,おてんば恋娘,おてんば恋娘
Null,,娜乌西卡的安魂曲,
Null,,"My soul,your beats","My soul,your beats"
Null,,Graze the Roof,Graze the Roof
Null,,曾有你的森林,
Null,,幽灵乐团,
Null,,もう歌しか聞こえない,もう歌しか聞こえない
Null,,桜のような恋でした,桜のような恋でした
Null,,人生的旋转木马,
Null,,Melodies of life,Melodies of life
Null,,斯毕拉的视野,
Null,,与你同在,
Null,,小区,
Null,,"鉄を叩きながら てめーの魂を叩き上げ(一边炼铁,一边炼就你的灵魂)",鉄を叩きながら てめーの魂を叩き上げ
Null,,逆蝶,
Null,,黑猫警长OP,
Null,,Irony,Irony
Null,,蓝染 2,
Null,,琥珀之爱,
Null,,四天王,
Null,,Believe me(in Ab),Believe me
Null,,またあした(明天见),またあした
Null,,懐かしき東方の血 2,懐かしき東方の血 2
Null,,晓之车,
Null,,週末の過ごし方より(如何度过周末),週末の過ごし方より
Null,,カラフル,カラフル
Null,,Hazy,Hazy
Null,,不可思议大冒险  2,
Null,,To Zanarkand,To Zanarkand
Null,,Jack-in-the-Box Zombie,Jack-in-the-Box Zombie
Null,,银色 2,
Null,,孤独的巡礼,
Null,,三代火影的葬礼,
Null,,夏夕空,
Null,,月光的云海,
Null,,奏之曲,
Null,,文乃的幸福理论,
Null,,夢語り,夢語り
Null,,幽灵盛典,
Null,,悲しみの向こうへ(向着悲伤的彼方),悲しみの向こうへ
Null,,天马座的幻想,
Null,,被禁忌的游戏 by広能昌三,
Null,,咲OP,
Null,,好想大声说爱你 by卢家宏,
Null,,风之丘,
Null,,相恋如樱,
Null,,Releas My Soul,Releas My Soul
Null,,霞光,
Null,,命运之夜 2,
Null,,不可思议大冒险,
Null,,Fly me to the moon,Fly me to the moon
Null,,暮色蒼然,
Null,,天衣无缝 2,
Null,,"Rain Stops,Good-Bye","Rain Stops,Good-Bye"
Null,,One more time One more chance,One more time One more chance
Null,,植物保龄球,
Null,,晓之车 2,
Null,,HANABI(花火),HANABI
Null,,嘘  by武士桑,嘘
Null,,冬の花火,冬の花火
Null,,那天的河川 3,
Null,,Brave Song 2,Brave Song 2
Null,,Eyes on me 2,Eyes on me 2
Null,,Eyes on me  by南泽大介,Eyes on me
Null,,Butterfly 2,Butterfly 2
Null,,桜の木になろう(成为樱树吧),桜の木になろう
Null,,大力水手主题曲,
